PartNumber,Inductance_uH,DCR_mOhm,Isat_A,Irms_A,MaxTemp_C,VoltageRating_V,Length_mm,Width_mm,Height_mm,Mounting,AECGrade,Price
XEL4020V-101,0.1,2.5,28.5,19.9,165,120,4.3,4.3,2.1,SM,1,$0.71
XEL4020-101,0.1,2.5,28.5,19.9,165,80,4.3,4.3,2.1,SM,1,$0.63
XEL4030-101,0.1,1.8,30,25.8,165,80,4.3,4.3,3.2,SM,1,$0.65
XEL4030V-101,0.1,1.8,30,25.8,165,120,4.3,4.3,3.2,SM,1,$0.73
XEL5020-101,0.1,2.2,39,25,165,80,5.68,5.48,2.2,SM,1,$0.75
XEL4012V-920,0.092,5.7,24,16.5,165,120,4.3,4.3,1.2,SM,1,$0.65
XEL4012-920,0.092,5.7,24,16.5,165,120,4.3,4.3,1.2,SM,1,$0.58
XGL3512-900,0.09,3.8,16.4,19.4,165,80,3.65,3.35,1.2,SM,1,$0.61
XGL3515-900,0.09,2.6,17.8,26.6,165,80,3.65,3.35,1.5,SM,1,$0.61
XGL3512-820,0.082,3.3,17.3,21.2,165,80,3.65,3.35,1.2,SM,1,$0.61
XEL4020-800,0.08,1.8,33.2,21.4,165,80,4.3,4.3,2.1,SM,1,$0.63
XEL4020V-800,0.08,1.8,33.2,21.4,165,120,4.3,4.3,2.2,SM,1,$0.71
XEL3515-720,0.072,3.15,16,23.6,165,80,3.65,3.35,1.5,SM,1,$0.61
XEL3520-700,0.07,2.85,18.5,27.2,165,80,3.65,3.35,2,SM,1,$0.67
XGL6030-650,0.065,0.63,57.5,43,165,80,6.91,6.71,3.1,SM,1,$1.06
XGL6020-550,0.055,0.87,51.5,38,165,80,6.91,6.71,2.1,SM,1,$0.77
XGL4030-450,0.045,0.8,42.5,36,165,80,4.3,4.3,3.1,SM,1,$0.65
XFL2010-400,0.04,16,8.6,4.8,165,40,2.2,2.1,1,SM,1,$0.60
