time	I(Vs)
1.440463532997286e-04	-4.972980e-01
1.440498961108230e-04	-4.988965e-01
1.440534389219174e-04	-5.007223e-01
1.449646774663031e-04	-8.830682e-01
1.451721422487609e-04	-9.711755e-01
1.453796070312187e-04	-1.058670e+00
1.455870718136765e-04	-1.145551e+00
1.457945365961342e-04	-1.231819e+00
1.460020013785920e-04	-1.317474e+00
1.462094661610497e-04	-1.402515e+00
1.464169309435075e-04	-1.486944e+00
1.464173048499770e-04	-1.488095e+00
1.464176787564465e-04	-1.488092e+00
1.464180526629159e-04	-1.486935e+00
1.464184265693854e-04	-1.484625e+00
1.464188004758548e-04	-1.481160e+00
1.464191743823243e-04	-1.476541e+00
1.464195482887938e-04	-1.470769e+00
1.464199585903374e-04	-1.454555e+00
1.464201874470232e-04	-1.439120e+00
1.464203882357512e-04	-1.418756e+00
1.464205791346165e-04	-1.391048e+00
1.464207690449375e-04	-1.352987e+00
1.464209879655340e-04	-1.294869e+00
1.464212484705040e-04	-1.209602e+00
1.464215704512222e-04	-1.095238e+00
1.464219242817227e-04	-9.813986e-01
1.464222929811972e-04	-8.933994e-01
1.464227138304464e-04	-8.299955e-01
1.464231584909956e-04	-7.915713e-01
1.464236963160783e-04	-7.645738e-01
1.464241330777507e-04	-7.518938e-01
1.464242914967244e-04	-8.640082e-01
1.464243282588685e-04	-9.758527e-01
1.464243569813312e-04	-1.045136e+00
1.464245648607798e-04	-1.024521e+00
1.464247727402284e-04	-1.006477e+00
1.464249806196770e-04	-9.910033e-01
1.464251884991256e-04	-9.781002e-01
1.464253963785742e-04	-9.677677e-01
1.464256042580228e-04	-9.600058e-01
1.464258121374714e-04	-9.548146e-01
1.464259332893355e-04	-9.669154e-01
1.464260858344319e-04	-1.029343e+00
1.464262212468002e-04	-1.187517e+00
1.464263220268742e-04	-1.438857e+00
1.464263807727443e-04	-1.693172e+00
1.464264335683486e-04	-2.033134e+00
1.464264915135745e-04	-2.540982e+00
1.464265585168325e-04	-3.300954e+00
1.464266254559620e-04	-4.238832e+00
1.464267049214466e-04	-5.536670e+00
1.464268987634017e-04	-8.986154e+00
1.464270072644362e-04	-1.078863e+01
1.464270517860114e-04	-1.142535e+01
1.464270638555647e-04	-1.158643e+01
1.464270759251181e-04	-1.173085e+01
1.464270879946714e-04	-1.185859e+01
1.464271000642247e-04	-1.196967e+01
1.464271121337780e-04	-1.206407e+01
1.464271242033313e-04	-1.214181e+01
1.464271362728847e-04	-1.220288e+01
1.464271774518772e-04	-1.214200e+01
1.464272191712911e-04	-1.162196e+01
1.464272460311110e-04	-1.083579e+01
1.464272670756335e-04	-9.848783e+00
1.464272887927889e-04	-8.542863e+00
1.464273136289451e-04	-6.775689e+00
1.464273456470667e-04	-4.304089e+00
1.464273758096202e-04	-2.133466e+00
1.464273900352716e-04	-1.338864e+00
1.464273987019185e-04	-1.001730e+00
1.464274086575802e-04	-7.181578e-01
1.464274188486109e-04	-5.016423e-01
1.464274283275503e-04	-3.558337e-01
1.464274369006196e-04	-2.602250e-01
1.464274446967432e-04	-1.959458e-01
1.464274512061651e-04	-1.553596e-01
1.464274579103791e-04	-1.233106e-01
1.464274646281955e-04	-9.866932e-02
1.464274726118526e-04	-7.696802e-02
1.464274830158896e-04	-5.701230e-02
1.464274955557134e-04	-4.125364e-02
1.464275108877906e-04	-2.972194e-02
1.464275292767702e-04	-2.210138e-02
1.464275506280277e-04	-1.745512e-02
1.464275699228023e-04	-1.517525e-02
1.464275876784226e-04	-1.389279e-02
1.464276052978407e-04	-1.296383e-02
1.464276206375854e-04	-1.230203e-02
1.464276508181053e-04	-1.123175e-02
1.464276816599999e-04	-1.031769e-02
1.464277217409758e-04	-9.316072e-03
1.464277613761589e-04	-8.476673e-03
1.464277970549752e-04	-7.827107e-03
1.464278389348189e-04	-7.171342e-03
1.464278813053926e-04	-6.601286e-03
1.464279215868725e-04	-6.135791e-03
1.464279651585613e-04	-5.699413e-03
1.464280155107850e-04	-5.267392e-03
1.464280879430067e-04	-4.755823e-03
1.464281435966156e-04	-4.426584e-03
1.464281990433830e-04	-4.154037e-03
1.464282602078840e-04	-3.898576e-03
1.464283559126241e-04	-3.576871e-03
1.464284601838707e-04	-3.307711e-03
1.464285670360016e-04	-3.095830e-03
1.464286872873482e-04	-2.913897e-03
1.464288291480485e-04	-2.752568e-03
1.464289872924554e-04	-2.619007e-03
1.464291676055145e-04	-2.507260e-03
1.464294158059032e-04	-2.396482e-03
1.464297145290930e-04	-2.299875e-03
1.464301724474360e-04	-2.189223e-03
1.464316634333617e-04	-1.911318e-03
1.464331544192875e-04	-1.658532e-03
1.464346454052132e-04	-1.430866e-03
1.464361363911390e-04	-1.228320e-03
1.464376273770647e-04	-1.050893e-03
1.464391183629905e-04	-8.985854e-04
1.464406093489162e-04	-7.713974e-04
1.464418567180929e-04	-6.779204e-04
1.464430709900945e-04	-5.985575e-04
1.464443779261634e-04	-5.239411e-04
1.464455676079474e-04	-4.638437e-04
1.464466903571839e-04	-4.139644e-04
1.464476136119083e-04	-3.773834e-04
1.464490412844675e-04	-3.273365e-04
1.464502282565805e-04	-2.905280e-04
1.464513066355868e-04	-2.611385e-04
1.464522367804729e-04	-2.383850e-04
1.464536305251325e-04	-2.081120e-04
1.464547143503153e-04	-1.871641e-04
1.464558499484764e-04	-1.677904e-04
1.464570227971296e-04	-1.500153e-04
1.464580159485566e-04	-1.365000e-04
1.464593699295339e-04	-1.201434e-04
1.464605548802526e-04	-1.076265e-04
1.464617595308905e-04	-9.634855e-05
1.464631819750482e-04	-8.464012e-05
1.464643525892519e-04	-7.620602e-05
1.464657558801581e-04	-6.738487e-05
1.464671065481865e-04	-5.993299e-05
1.464682640593194e-04	-5.430984e-05
1.464694756782756e-04	-4.912044e-05
1.464708111102091e-04	-4.407787e-05
1.464720589878211e-04	-3.991252e-05
1.464730704453233e-04	-3.698067e-05
1.464740819028255e-04	-3.427490e-05
1.464750933603277e-04	-3.179520e-05
1.464761048178299e-04	-2.954157e-05
1.464771162753321e-04	-2.751401e-05
1.464781277328343e-04	-2.571253e-05
1.464791391903365e-04	-2.413712e-05
1.464806577146523e-04	-2.198044e-05
1.464817647016243e-04	-2.063159e-05
1.464828716885964e-04	-1.939469e-05
1.464839786755684e-04	-1.826972e-05
1.464850856625404e-04	-1.725670e-05
1.464861926495124e-04	-1.635563e-05
1.464872996364844e-04	-1.556649e-05
1.464884066234564e-04	-1.488930e-05
1.464898051455078e-04	-1.412609e-05
1.464912036675592e-04	-1.343715e-05
1.464926021896106e-04	-1.282246e-05
1.464940007116620e-04	-1.228203e-05
1.464953992337134e-04	-1.181585e-05
1.464967977557648e-04	-1.142393e-05
1.464981962778162e-04	-1.110626e-05
1.465001873075863e-04	-1.072208e-05
1.465021783373565e-04	-1.038450e-05
1.465041693671267e-04	-1.009351e-05
1.465061603968969e-04	-9.849111e-06
1.465081514266671e-04	-9.651311e-06
1.465101424564373e-04	-9.500107e-06
1.465121334862074e-04	-9.395497e-06
1.465156832536028e-04	-9.248436e-06
1.465192330209982e-04	-9.125654e-06
1.465227827883936e-04	-9.027151e-06
1.465263325557890e-04	-8.952927e-06
1.465298823231844e-04	-8.902982e-06
1.465334320905798e-04	-8.877316e-06
1.465369818579752e-04	-8.875929e-06
1.465615587554356e-04	-8.852601e-06
1.465861356528959e-04	-8.834280e-06
1.466107125503563e-04	-8.820965e-06
1.466352894478166e-04	-8.812655e-06
1.466598663452770e-04	-8.809352e-06
1.466844432427374e-04	-8.811054e-06
1.467090201401977e-04	-8.817763e-06
1.469887864623422e-04	-8.803967e-06
1.472685527844867e-04	-8.793081e-06
1.475483191066312e-04	-8.785104e-06
1.478280854287757e-04	-8.780036e-06
1.481078517509202e-04	-8.777878e-06
1.483876180730646e-04	-8.778630e-06
1.486673843952091e-04	-8.782291e-06
1.487099303825313e-04	-8.782787e-06
1.487973566269454e-04	-8.783716e-06
1.487975457501603e-04	-5.014916e-04
1.487975894877360e-04	-4.599739e-04
1.487976322645497e-04	3.287961e-05
1.487976559837912e-04	8.831794e-05
1.487976828790432e-04	-3.103130e-05
1.487977145307054e-04	-4.179386e-06
1.487977440566032e-04	-1.067892e-05
1.487977746992149e-04	-7.957902e-06
1.487978064120803e-04	-8.890942e-06
1.487978404098784e-04	-8.669016e-06
1.487978791101306e-04	-9.241108e-06
1.487978847845330e-04	-8.726254e-06
1.487978848048548e-04	-8.592792e-06
1.487978848454989e-04	-8.600436e-06
1.487978849267868e-04	-8.798613e-06
1.487978850893625e-04	-8.816542e-06
1.487978854145138e-04	-8.663174e-06
1.487978860648170e-04	-8.630723e-06
1.487978899666360e-04	-8.706719e-06
1.487979055739114e-04	-8.757374e-06
1.487982394211900e-04	-8.774777e-06
1.487985732684687e-04	-8.787275e-06
1.487989071157473e-04	-8.794868e-06
1.487992409630260e-04	-8.797555e-06
1.487995748103046e-04	-8.795336e-06
1.487999086575832e-04	-8.788212e-06
1.488002425048618e-04	-8.776182e-06
1.488027140408433e-04	-8.777255e-06
1.488090674390758e-04	-8.772390e-06
1.488101724247161e-04	-2.442250e-03
1.488106372118055e-04	-1.733228e-03
1.488108111111432e-04	3.590320e-04
1.488108732533408e-04	-2.021844e-03
1.488108846398281e-04	-1.773980e-03
1.488108894114044e-04	-1.096292e-03
